Etunimi;Lukumäärä
Iivo;1601
Jori;1597
Bo;1592
Gustaf;1589
Kaarle;1577
Tenho;1550
Arthur;1549
Christoffer;1534
Elis;1533
Ralf;1526
Alvari;1521
Albin;1519
Åke;1509
Timi;1501
Dan;1500
Tuure;1491
Elliot;1470
Mico;1460
Kosti;1459
Adrian;1448
Liam;1443
Jiri;1426
Aamos;1421
Isak;1415
Kaspian;1414
Vincent;1401
Nicolas;1400
Helge;1398
Iisak;1386
Sulevi;1384
Bernhard;1374
Iikka;1365
Salomon;1365
James;1354
Jan-Erik;1348
Filip;1338
Heino;1337
Petrus;1334
Rauli;1330
Tiitus;1304
Ulf;1295
Raine;1291
Mohammed;1287
Walter;1286
Waldemar;1285
Kristoffer;1281
Jari-Pekka;1277
Harald;1273
Birger;1272
Teo;1261
Venni;1226
Christopher;1223
Georg;1218
Taito;1216
Niki;1209
Arne;1208
Paulus;1207
Valo;1187
Väinämö;1186
Kasimir;1179
Nicholas;1167
Amos;1162
Manuel;1157
Oula;1152
Auvo;1149
Mio;1149
Ilmo;1146
Sampsa;1144
Bror;1136
Jens;1135
Noa;1135
Alf;1134
Joose;1133
Aksel;1131
Vilhelmi;1127
Rudolf;1120
Visa;1116
Jarl;1112
Okko;1111
Valto;1107
Börje;1098
Emanuel;1090
Ingmar;1084
Sasu;1080
Niila;1079
Uljas;1079
Ben;1076
Jose;1075
Otava;1061
Niclas;1059
Erkka;1057
André;1054
Antonio;1047
Maximilian;1044
Altti;1043
Simeon;1038
Omar;1035
Kjell;1033
Konstantin;1028
Mohammad;1024
Artur;1020
Wiljami;1018
Ibrahim;1014
Elmer;1013
Ivar;1010
Eevertti;1006
Andrei;997
Ville-Veikko;986
Marco;983
Aron;975
Theo;970
Cristian;955
Neo;946
Jon;944
Jakob;941
Hjalmar;934
Romeo;934
Ragnar;931
Isto;921
Viking;918
Tor;914
Anthony;905
Hassan;899
Ilja;894
Sakarias;892
Torsten;891
Jimmy;882
Benjam;876
Roy;871
Mark;863
Johnny;860
Adolf;854
Jooseppi;854
Miikkael;853
Jare;850
Helmer;842
Aatto;833
Leander;833
Ole;825
Marius;822
Bertel;819
Ruben;815
Uuno;811
Atso;808
Torsti;799
Dennis;794
Asseri;793
Frank;793
Jeremia;788
Holger;787
Julian;786
Vesa-Matti;783
Kaius;779
Antinpoika;771
Hemmo;770
Teodor;769
Jussi-Pekka;766
Alfons;763
Yrjänä;762
Aleksei;752
Tim;751
Benjami;750
Rene;749
Bjarne;747
Hussein;738
Bruno;737
Into;736
Ove;735
Usko;733
Aleksandr;732
Mauritz;721
Jim;716
Dimitri;715
Valfrid;714
Ferdinand;713
Turo;712
Olav;711
Osvald;709
Ivan;706
Roland;706
Joosua;700
Edwin;699
Sam;699
Abdi;698
Miikael;698
Jonni;686
Philip;679
Muhammad;676
Pekko;674
Petja;674
Alvin;672
Valtter;671
Eppu;668
Ahmad;664
Reko;662
Werner;661
Veini;660
Miki;659
Arimo;657
Theodor;656
Abdullahi;655
Casimir;653
Vladimir;652
Micael;649
Joachim;645
Jesperi;643
Rune;637
Arno;632
Abdirahman;625
Anselm;622
Jacob;619
Amir;615
Boris;615
Jörgen;614
Immanuel;613
Mustafa;613
Charles;612
Antto;611
Zacharias;611
Elian;610
Kauno;608
Sergei;608
Evald;602
Jasu;602
Erland;597
Dani;596
Fabian;592
Matinpoika;591
Gösta;587
Wiljam;586
Nestor;581
Jean;578
Pontus;577
Ernst;572
Sylvester;572
Ohto;570
Juhanpoika;568
Juri;568
Mirko;568
Matts;560
Sameli;556
Sten;556
Raino;555
Guy;550
Joseph;544
Bertil;542
Nicklas;542
Jaro;535
Runar;535
Mikonpoika;533
Vilppu;533
Andrew;531
Ludvig;531
Herbert;528
Dominic;526
Ville-Pekka;526
Ylermi;523
Vesa-Pekka;522
Kent;520
Joa;519
Helmeri;518
Leonardo;514
Arsi;512
Igor;511
Joshua;510
Mainio;507
Maxim;501
Tage;501
Osku;500
Arnold;499
Nikita;499
Eugen;496
Esaias;492
Levi;491
Kuisma;489
Leonel;489
Yngve;489
