Sukunimi;Yhteensä
Seppä;2267
Huuskonen;2265
Valkama;2260
Vuorela;2260
Sirén;2259
Konttinen;2238
Oikarinen;2237
Elo;2234
Tiihonen;2231
Muhonen;2230
Sjöblom;2213
Riihimäki;2208
Salomaa;2207
Snellman;2207
Alanen;2206
Eloranta;2203
Sirviö;2196
Soini;2195
Kiuru;2193
Pekkarinen;2169
Simola;2164
Forsman;2163
Rönkkö;2161
Ryynänen;2157
Keskitalo;2156
Lammi;2155
Reinikainen;2150
Kalliokoski;2137
Järvi;2126
Kari;2121
Ylinen;2115
Marttinen;2114
Airaksinen;2102
Haapaniemi;2102
Nevala;2093
Simonen;2090
Aro;2089
Uotila;2085
Holappa;2079
Pöllänen;2077
Ihalainen;2063
Sutinen;2056
Grönroos;2054
Puranen;2047
Kauppi;2043
Tähtinen;2042
Joensuu;2030
Antikainen;2029
Lankinen;2027
Sihvonen;2022
Aarnio;2013
Lehti;2002
Sundström;2000
Toivola;1994
Paavilainen;1982
Kauhanen;1975
Friman;1967
Sivonen;1965
Törmänen;1961
Kiiskinen;1958
Luoto;1954
Hassinen;1952
Suvanto;1950
Sormunen;1938
Westerlund;1937
Virolainen;1936
Koivuniemi;1933
Luostarinen;1925
Nordström;1924
Eerola;1918
Kotilainen;1914
Ruuska;1901
Ruohonen;1888
Nenonen;1879
Tuomisto;1876
Sinisalo;1874
Kiiski;1870
Björklund;1866
Nygård;1866
Antila;1854
Nguyen;1847
Tervonen;1847
Pietikäinen;1842
Sinkkonen;1842
Huusko;1838
Rajamäki;1837
Koljonen;1832
Sorsa;1829
Laamanen;1828
Pikkarainen;1823
Kuokkanen;1821
Kekkonen;1817
Piiroinen;1815
Suomela;1811
Tenhunen;1811
Laitila;1810
Lämsä;1810
Siitonen;1810
Lind;1809
Ekman;1806
Ukkonen;1803
Jylhä;1792
Forsström;1790
Leppälä;1788
Ali;1781
Paajanen;1780
Nyström;1775
Suomi;1775
Bergman;1769
Neuvonen;1766
Alho;1765
Mäkitalo;1765
Arola;1760
Mohamed;1756
Vuorio;1756
Vepsäläinen;1752
Lyytikäinen;1747
Pakkanen;1746
Junttila;1744
Vanhanen;1738
Nyholm;1737
Kontio;1732
Sandberg;1732
Wikström;1731
Tahvanainen;1730
Vainionpää;1730
Närhi;1729
Tapio;1726
Hakanen;1724
Saarelainen;1724
Kujanpää;1717
Lempinen;1716
Kosunen;1715
Hurme;1714
Jantunen;1709
Helander;1707
Pöyhönen;1707
Suutari;1705
Honkala;1696
Inkinen;1693
Tauriainen;1685
Tuomainen;1684
Hynninen;1683
Hyytiäinen;1683
Minkkinen;1682
Ekholm;1681
Saukkonen;1673
Rintamäki;1668
Saukko;1661
Kaartinen;1657
Remes;1654
Kääriäinen;1644
Nummela;1644
Kautto;1638
Piironen;1634
Koivu;1628
Pirhonen;1628
Nurmela;1626
Puttonen;1622
