Etunimi;Lukumäärä
Lisa;1994
Mariia;1977
Taija;1959
Selina;1956
Tuire;1928
Monika;1925
Carola;1921
Kaisla;1919
Patricia;1905
Eine;1901
Carina;1897
Karolina;1894
Charlotte;1892
Taika;1882
Miina;1862
Elin;1851
Viktoria;1838
Mirella;1831
Janna;1826
Reeta;1822
Susan;1798
Reija;1797
Säde;1790
Lena;1786
Kiira;1781
Miisa;1781
Heljä;1764
Saaga;1760
Henrietta;1759
Jasmine;1732
Eini;1727
Ninni;1710
Alva;1703
Luna;1703
Aura;1699
Solveig;1694
Riitta-Liisa;1691
Salli;1690
Saima;1680
Kia;1669
Marleena;1663
Eleonora;1661
Enna;1657
Anna-Kaisa;1656
Diana;1633
Helene;1628
Erin;1626
Sointu;1625
Harriet;1612
Titta;1608
Jasmiina;1605
Wilhelmina;1601
Veronica;1598
Ava;1597
Helli;1586
Elvira;1582
Amelie;1576
Thi;1576
Inger;1575
Pirita;1573
Kerstin;1572
Evelina;1571
Fiona;1566
Inna;1562
Neela;1558
Helga;1553
Rebecca;1549
Valpuri;1544
Brita;1532
Hellin;1521
Mea;1512
Leea;1511
Aurelia;1502
Marja-Terttu;1498
Stina;1498
Lovisa;1490
Ira;1488
Vanamo;1482
Eleonoora;1479
Helen;1479
Iines;1479
Annette;1478
Aida;1477
Justiina;1477
Lilia;1477
Elea;1476
Pilvi;1473
Kanerva;1462
Raisa;1456
Ursula;1434
Greta;1433
Martina;1424
Elizabeth;1412
Iita;1408
Tia;1404
Lyyli;1384
Else;1383
Kirsi-Marja;1373
Adeliina;1370
Lina;1365
Lumia;1363
Siru;1359
Henni;1355
Anna-Mari;1351
Valentina;1351
Aamu;1347
Fredrika;1332
Alissa;1322
Juuli;1317
Yvonne;1314
Magdalena;1298
Beatrice;1292
Benita;1286
Agneta;1284
Mariitta;1281
Milena;1276
Mathilda;1273
Svetlana;1271
Hanna-Leena;1269
Viena;1268
Marja-Riitta;1263
Henrika;1257
Leona;1256
Madeleine;1254
Ebba;1252
Bea;1249
Hanna-Mari;1248
Tuovi;1247
Ingegerd;1235
Malin;1233
Silvia;1233
Felicia;1221
Kirsikka;1221
Terhikki;1221
Auroora;1219
Vellamo;1219
Janica;1218
Sarah;1216
Serafiina;1210
Anne-Maria;1208
Mohamed;1208
Barbro;1201
Ann;1195
Anna-Leena;1187
Tina;1185
Meea;1180
Kira;1179
Malla;1178
Valma;1171
Adessa;1166
Laina;1166
Sohvi;1165
Caroline;1164
Peppiina;1158
Siv;1147
Ann-Mari;1144
Lila;1142
Tatiana;1134
Mariella;1133
Miranda;1129
Adelia;1126
Berit;1126
Beata;1125
Nanna;1122
Tinja;1113
Sarita;1105
Liisi;1094
Raila;1089
Milka;1085
Anne-Marie;1081
Riia;1081
Michaela;1079
Janni;1076
Natalie;1073
Verna;1073
Hely;1067
Siviä;1065
Kaarin;1064
Paulina;1064
Sabina;1064
Mailis;1063
Mimmi;1063
Minka;1063
Sofi;1060
Sophie;1060
Ellinoora;1059
Tessa;1053
Marjo-Riitta;1049
Rakel;1048
Miriam;1039
Unna;1038
Virva;1033
Veronika;1018
Elna;1012
Maya;1012
Ines;1010
Nicole;1009
Ruut;1008
Ekaterina;1001
Emily;993
Sophia;992
Nuppu;989
Signe;989
Sanna-Mari;983
Pirkko-Liisa;981
Lily;980
Isa;979
Ansa;977
Nadja;965
Claudia;963
Annamari;959
Alicia;957
Edit;956
Maj-Britt;955
Teresia;952
Ruth;947
Adelina;942
Marlene;940
Julianna;937
Åsa;930
Juliaana;929
Aina;923
Edla;922
Emelie;921
Maarika;918
Eedit;917
Vilhelmina;915
Juliana;911
Annu;910
Minni;910
Jennifer;909
Agnes;902
Bertta;902
Ahmed;897
Kerttuli;895
Maija-Leena;892
Gun;891
Nelly;888
Melinda;887
Minerva;887
Selja;884
Lucia;881
Katrina;880
Michelle;877
Hanna-Kaisa;875
Margareetta;870
Stiina;870
Mai;869
Rose;864
Pipsa;861
Jatta;859
Jessika;858
Ina;856
Kielo;852
Angelica;848
Annastiina;846
Tove;841
Nita;838
Bettina;823
Micaela;819
Lili;811
Josefin;808
Gabriella;805
Gunvor;803
Lisbeth;803
Mary;795
Bella;794
Tatjana;792
Andrea;791
Kastehelmi;787
Serafia;783
Emilie;782
Nathalie;781
Milana;780
Annikka;777
Maj;776
Margareeta;774
Rea;766
Ali;765
Jasmina;762
Sigrid;762
Kukka;759
Gunnel;747
Eden;745
Josefine;739
Mariel;739
Isabelle;738
Jane;734
Kukka-Maaria;734
Ida-Maria;731
Rosanna;731
Elmiina;726
Merita;725
Mirkka;719
Doris;718
Ilse;716
Lara;715
